Data array voltage (V), SRAM cell nfet on current (A/um), SRAM cell nfet off current (A/um), SRAM cell pfet on current UNUSED (A/um), SRAM cell pfet off current UNUSED (A/um), SRAM cell nfet on resistance (ohm-um), SRAM cell pfet on resistance (ohm-um), Access time (ns), Cycle time (ns), Dynamic read energy per access (nJ), Leakage power data cells (mW), Leakage current per data cell (A), Leakage power data bank (mW), Leakage power tag bank (mW), Total leakage power (mW), Data cells / data array power, Data cells / total power, Tag cells / tag array power, Tag cells / total power, No. banks
0.77, 0.0007448, 1.15934e-06, 0.00043092, 5.369e-09, 1561.09, 3762.23, 1.97377, 1.73458, 0.167633, 1144.28, 1.77154e-07, 1365.29, 110.563, 2951.7, 0.838124, 0.775336, 0.927275, 0.0694666, 2
0.76, 0.00072716, 1.13946e-06, 0.00041958, 5.2024e-09, 1578.19, 3803.45, 1.97377, 1.73629, 0.167232, 1110.03, 1.74113e-07, 1331.04, 110.563, 2883.2, 0.833958, 0.769998, 0.927275, 0.0711172, 2
0.75, 0.00070952, 1.12e-06, 0.00040824, 5.04e-09, 1596.15, 3846.72, 1.97377, 1.7381, 0.16683, 1076.69, 1.71135e-07, 1297.7, 110.563, 2816.52, 0.829692, 0.764552, 0.927275, 0.0728008, 2
0.74, 0.00069188, 1.10026e-06, 0.0003969, 4.8818e-09, 1615.02, 3892.2, 1.97377, 1.74003, 0.166429, 1043.58, 1.68115e-07, 1264.59, 110.563, 2750.31, 0.825234, 0.758885, 0.927275, 0.0745533, 2
0.73, 0.00067438, 1.0815e-06, 0.00038542, 4.7278e-09, 1634.54, 3939.24, 1.97377, 1.74202, 0.166028, 1011.91, 1.65245e-07, 1232.91, 110.563, 2686.95, 0.820743, 0.753199, 0.927275, 0.0763113, 2
0.72, 0.00065674, 1.06232e-06, 0.0003738, 4.5794e-09, 1655.45, 3989.63, 1.97377, 1.74419, 0.165627, 980.322, 1.6231e-07, 1201.33, 110.563, 2623.79, 0.816031, 0.747257, 0.927275, 0.0781485, 2
0.71, 0.00063924, 1.04384e-06, 0.00036232, 4.4352e-09, 1677.15, 4041.93, 1.97377, 1.74645, 0.165227, 949.868, 1.59483e-07, 1170.88, 110.563, 2562.88, 0.811246, 0.741251, 0.927275, 0.0800057, 2
0.7, 0.00062174, 1.02522e-06, 0.0003507, 4.2938e-09, 1700.07, 4097.16, 1.97377, 1.74885, 0.164826, 919.765, 1.56635e-07, 1140.77, 110.563, 2502.67, 0.806265, 0.735026, 0.927275, 0.0819304, 2
0.69, 0.00060424, 1.00674e-06, 0.00033908, 4.1566e-09, 1724.31, 4155.6, 1.97377, 1.75142, 0.164426, 890.264, 1.53808e-07, 1111.27, 110.563, 2443.67, 0.801122, 0.728628, 0.927275, 0.0839086, 2
0.68, 0.00058688, 9.884e-07, 0.00032746, 4.0236e-09, 1749.59, 4216.51, 1.97377, 1.75411, 0.164026, 861.36, 1.51003e-07, 1082.37, 110.563, 2385.86, 0.795811, 0.722053, 0.927275, 0.0859416, 2
0.67, 0.00056952, 9.7048e-07, 0.0003157, 3.8948e-09, 1776.41, 4281.14, 1.97377, 1.757, 0.163626, 833.289, 1.48262e-07, 1054.3, 110.563, 2329.72, 0.790374, 0.715355, 0.927275, 0.0880127, 2
0.66, 0.0005523, 9.5242e-07, 0.00030408, 3.7688e-09, 1804.45, 4348.73, 1.97377, 1.76002, 0.163226, 805.56, 1.455e-07, 1026.57, 110.563, 2274.26, 0.784712, 0.708414, 0.927275, 0.0901589, 2
0.65, 0.00053522, 9.3506e-07, 0.00029232, 3.647e-09, 1833.83, 4419.52, 1.97377, 1.76321, 0.162827, 778.877, 1.42845e-07, 999.885, 110.563, 2220.9, 0.778967, 0.701408, 0.927275, 0.0923253, 2
0.64, 0.00051814, 9.177e-07, 0.0002807, 3.5294e-09, 1865.13, 4494.97, 1.97377, 1.76664, 0.162427, 752.642, 1.4019e-07, 973.65, 110.563, 2168.43, 0.773011, 0.694183, 0.927275, 0.0945593, 2
0.63, 0.0005012, 9.0048e-07, 0.00026894, 3.4132e-09, 1898.04, 4574.29, 1.97377, 1.77026, 0.162028, 726.965, 1.37557e-07, 947.973, 110.563, 2117.07, 0.766863, 0.686764, 0.927275, 0.096853, 2
0.62, 0.0004844, 8.8354e-07, 0.00025732, 3.3012e-09, 1932.7, 4657.81, 1.97377, 1.7741, 0.161629, 701.954, 1.34967e-07, 922.962, 110.563, 2067.05, 0.760545, 0.679184, 0.927275, 0.0991969, 2
0.61, 0.0004676, 8.6646e-07, 0.0002457, 3.1934e-09, 1969.85, 4747.33, 1.97377, 1.77825, 0.161231, 677.268, 1.32355e-07, 898.276, 110.563, 2017.68, 0.753964, 0.671334, 0.927275, 0.101624, 2
0.6, 0.00045094, 8.5008e-07, 0.00023408, 3.087e-09, 2009.14, 4842.02, 1.97377, 1.78267, 0.160832, 653.559, 1.29851e-07, 874.567, 110.563, 1970.26, 0.747294, 0.663424, 0.927275, 0.10407, 2
0.59, 0.00043456, 8.3342e-07, 0.0002226, 2.9848e-09, 2050.12, 4940.79, 1.97377, 1.78729, 0.160434, 630.06, 1.27303e-07, 851.068, 110.563, 1923.26, 0.740317, 0.655199, 0.927275, 0.106613, 2
0.58, 0.00041832, 8.1704e-07, 0.00021112, 2.8854e-09, 2093.61, 5045.61, 1.97377, 1.79223, 0.160036, 607.197, 1.24799e-07, 828.205, 110.563, 1877.54, 0.733148, 0.646802, 0.927275, 0.10921, 2
0.57, 0.00040208, 8.0108e-07, 0.00019964, 2.7888e-09, 2140.62, 5158.89, 1.97377, 1.79762, 0.159638, 585.061, 1.22359e-07, 806.069, 110.563, 1833.26, 0.72582, 0.638272, 0.927275, 0.111847, 2
0.56, 0.00038612, 7.8512e-07, 0.0001883, 2.695e-09, 2189.99, 5277.88, 1.97377, 1.80329, 0.15924, 563.335, 1.19919e-07, 784.343, 110.563, 1789.81, 0.718225, 0.629491, 0.927275, 0.114562, 2
0.55, 0.0003703, 7.6916e-07, 0.00017696, 2.604e-09, 2242.78, 5405.09, 1.97377, 1.8094, 0.158842, 542.019, 1.17479e-07, 763.027, 110.563, 1747.18, 0.710354, 0.62045, 0.927275, 0.117358, 2
0.54, 0.00035462, 7.539e-07, 0.00016576, 2.5158e-09, 2299.36, 5541.46, 1.97377, 1.816, 0.158445, 521.597, 1.15147e-07, 742.605, 110.563, 1706.34, 0.702388, 0.611365, 0.927275, 0.120167, 2
0.53, 0.00033922, 7.3864e-07, 0.00015484, 2.429e-09, 2359.24, 5685.76, 1.97377, 1.82301, 0.158048, 501.567, 1.12814e-07, 722.575, 110.563, 1666.28, 0.694138, 0.602021, 0.927275, 0.123056, 2
0.52, 0.00032396, 7.2338e-07, 0.00014392, 2.345e-09, 2423.76, 5841.25, 1.97377, 1.83062, 0.15765, 481.928, 1.10481e-07, 702.936, 110.563, 1627, 0.685593, 0.592414, 0.927275, 0.126026, 2
0.51, 0.00030884, 7.0826e-07, 0.000133112, 2.2652e-09, 2493.52, 6009.39, 1.97377, 1.83891, 0.157254, 462.774, 1.0817e-07, 683.782, 110.563, 1588.69, 0.676786, 0.582585, 0.927275, 0.129065, 2
0.5, 0.000294, 6.937e-07, 0.00012257, 2.1854e-09, 2568.03, 6188.95, 1.97377, 1.84781, 0.156857, 444.365, 1.05945e-07, 665.373, 110.563, 1551.87, 0.667844, 0.572682, 0.927275, 0.132127, 2
0.49, 0.0002793, 6.7872e-07, 0.000112238, 2.1098e-09, 2649.12, 6384.39, 1.97377, 1.85757, 0.15646, 426.067, 1.03656e-07, 647.075, 110.563, 1515.28, 0.658451, 0.562362, 0.927275, 0.135318, 2
0.48, 0.00026488, 6.643e-07, 0.000102186, 2.0356e-09, 2736.33, 6594.56, 1.97377, 1.86812, 0.156064, 408.498, 1.01452e-07, 629.506, 110.563, 1480.14, 0.648918, 0.551973, 0.927275, 0.138531, 2
0.47, 0.0002506, 6.5016e-07, 9.2428e-05, 1.9628e-09, 2832, 6825.13, 1.97377, 1.87979, 0.155668, 391.467, 9.92905e-08, 612.475, 110.563, 1446.08, 0.639156, 0.54142, 0.927275, 0.141794, 2
0.46, 0.00023674, 6.3616e-07, 8.3006e-05, 1.8942e-09, 2934.02, 7070.99, 1.98214, 1.89228, 0.155272, 374.883, 9.71511e-08, 595.891, 110.563, 1412.91, 0.629113, 0.530654, 0.927275, 0.145123, 2
0.45, 0.00022302, 6.2216e-07, 7.4004e-05, 1.8256e-09, 3046.81, 7342.82, 1.99606, 1.9062, 0.154876, 358.657, 9.50116e-08, 579.665, 110.563, 1380.46, 0.618731, 0.519621, 0.927275, 0.148534, 2
0.44, 0.00020958, 6.0858e-07, 6.5422e-05, 1.7598e-09, 3170.15, 7640.06, 2.01138, 1.92152, 0.154481, 343.027, 9.29363e-08, 564.035, 110.563, 1349.2, 0.608166, 0.508491, 0.927275, 0.151976, 2
0.43, 0.00019656, 5.9486e-07, 5.7344e-05, 1.6968e-09, 3303.32, 7960.99, 2.02799, 1.93813, 0.154085, 327.668, 9.08398e-08, 548.676, 110.563, 1318.48, 0.597198, 0.49704, 0.927275, 0.155516, 2
0.42, 0.00018368, 5.8156e-07, 4.9784e-05, 1.6338e-09, 3452.74, 8321.11, 2.04678, 1.95692, 0.15369, 312.888, 8.88074e-08, 533.896, 110.563, 1288.92, 0.586046, 0.485504, 0.927275, 0.159083, 2
0.41, 0.00017122, 5.6854e-07, 4.2798e-05, 1.5736e-09, 3615.82, 8714.12, 2.06739, 1.97753, 0.153295, 298.595, 8.68179e-08, 519.603, 110.563, 1260.33, 0.57466, 0.473836, 0.927275, 0.162691, 2
0.4, 0.00015918, 5.5552e-07, 3.6428e-05, 1.5162e-09, 3794.45, 9144.62, 2.09007, 2.00022, 0.152901, 284.637, 8.48285e-08, 505.645, 110.563, 1232.42, 0.562919, 0.461917, 0.927275, 0.166376, 2
0.39, 0.00014742, 5.4278e-07, 3.0674e-05, 1.4588e-09, 3994.71, 9627.25, 2.11568, 2.02582, 0.152506, 271.153, 8.28818e-08, 492.161, 110.563, 1205.45, 0.550943, 0.449879, 0.927275, 0.170099, 2
0.38, 0.000136066, 5.3018e-07, 2.555e-05, 1.4042e-09, 4217.07, 10163.1, 2.14426, 2.0544, 0.152112, 258.063, 8.09567e-08, 479.071, 110.563, 1179.27, 0.538674, 0.437667, 0.927275, 0.173875, 2
0.37, 0.000125118, 5.1772e-07, 2.1056e-05, 1.35142e-09, 4465.38, 10761.6, 2.17635, 2.08649, 0.151717, 245.363, 7.9053e-08, 466.371, 110.563, 1153.87, 0.526112, 0.425288, 0.927275, 0.177702, 2
0.36, 0.00011459, 5.054e-07, 1.7164e-05, 1.2999e-09, 4743.87, 11432.7, 2.21253, 2.12268, 0.151323, 233.048, 7.71707e-08, 454.056, 110.563, 1129.24, 0.513258, 0.412752, 0.927275, 0.181578, 2
0.35, 0.000104524, 4.935e-07, 1.3846e-05, 1.25006e-09, 5056.26, 12185.6, 2.25332, 2.16346, 0.150929, 221.236, 7.53526e-08, 442.244, 110.563, 1105.61, 0.500258, 0.400205, 0.927275, 0.185458, 2
0.34, 9.4906e-05, 4.8174e-07, 1.10586e-05, 1.20162e-09, 5409.56, 13037, 2.29968, 2.20982, 0.150536, 209.791, 7.35559e-08, 430.799, 110.563, 1082.72, 0.486981, 0.387524, 0.927275, 0.189379, 2
0.33, 8.5778e-05, 4.6984e-07, 8.7486e-06, 1.15458e-09, 5809.18, 14000.1, 2.35236, 2.26251, 0.150142, 198.588, 7.1738e-08, 419.596, 110.563, 1060.32, 0.473284, 0.374582, 0.927275, 0.193381, 2
0.32, 7.714e-05, 4.585e-07, 6.86e-06, 1.10908e-09, 6263.94, 15096.1, 2.41259, 2.32273, 0.149749, 187.92, 7.00056e-08, 408.928, 110.563, 1038.98, 0.459543, 0.361738, 0.927275, 0.197352, 2
0.31, 6.902e-05, 4.4716e-07, 5.334e-06, 1.06498e-09, 6782.09, 16344.8, 2.4815, 2.39164, 0.149356, 177.542, 6.82732e-08, 398.55, 110.563, 1018.23, 0.44547, 0.348728, 0.927275, 0.201374, 2
0.3, 6.1418e-05, 4.361e-07, 4.116e-06, 1.02228e-09, 7375.69, 17775.4, 2.56077, 2.47092, 0.148963, 167.563, 6.65836e-08, 388.571, 110.563, 998.269, 0.431229, 0.335708, 0.927275, 0.205401, 2
0.29, 5.4362e-05, 4.2518e-07, 3.1528e-06, 9.8084e-10, 8055.26, 19413.2, 2.65186, 2.562, 0.14857, 157.92, 6.49155e-08, 378.928, 110.563, 978.982, 0.416754, 0.32262, 0.927275, 0.209447, 2
0.28, 4.7838e-05, 4.1426e-07, 2.3982e-06, 9.408e-10, 8838.16, 21300, 2.75718, 2.66732, 0.148178, 148.556, 6.32474e-08, 369.564, 110.563, 960.255, 0.401977, 0.30941, 0.927275, 0.213532, 2
0.27, 4.1846e-05, 4.0376e-07, 1.813e-06, 9.0188e-10, 9742.87, 23480.3, 2.87929, 2.78943, 0.147785, 139.618, 6.16435e-08, 360.626, 110.563, 942.378, 0.387154, 0.29631, 0.927275, 0.217582, 2
0.26, 3.6386e-05, 3.934e-07, 1.3622e-06, 8.6422e-10, 10789.9, 26003.6, 3.02104, 2.93119, 0.147393, 130.995, 6.0061e-08, 352.003, 110.563, 925.133, 0.372142, 0.283192, 0.927275, 0.221638, 2
0.25, 3.1458e-05, 3.8304e-07, 1.0178e-06, 8.2768e-10, 12000.1, 28920.3, 3.18535, 3.09549, 0.147001, 122.638, 5.84786e-08, 343.646, 110.563, 908.419, 0.356874, 0.270004, 0.927275, 0.225716, 2
0.24, 2.7034e-05, 3.7296e-07, 7.5642e-07, 7.924e-10, 13405.3, 32306.9, 3.3766, 3.28674, 0.14661, 114.633, 5.69389e-08, 335.641, 110.563, 892.409, 0.341535, 0.256907, 0.927275, 0.229766, 2
