Data array voltage (V), SRAM cell nfet on current (A/um), SRAM cell nfet off current (A/um), SRAM cell pfet on current UNUSED (A/um), SRAM cell pfet off current UNUSED (A/um), SRAM cell nfet on resistance (ohm-um), SRAM cell pfet on resistance (ohm-um), Access time (ns), Cycle time (ns), Dynamic read energy per access (nJ), Leakage power data cells (mW), Leakage current per data cell (A), Leakage power data bank (mW), Leakage power tag bank (mW), Total leakage power (mW), Data cells / data array power, Data cells / total power, Tag cells / tag array power, Tag cells / total power, No. banks
0.77, 0.0007448, 1.15934e-06, 0.00043092, 5.369e-09, 1561.09, 3762.23, 2.64181, 1.97995, 0.343808, 2288.56, 1.77154e-07, 2591.13, 232.833, 11295.8, 0.88323, 0.810409, 0.880653, 0.072609, 4
0.76, 0.00072716, 1.13946e-06, 0.00041958, 5.2024e-09, 1578.19, 3803.45, 2.64181, 1.98393, 0.343026, 2220.05, 1.74113e-07, 2522.62, 232.833, 11021.8, 0.880059, 0.805695, 0.880653, 0.0744142, 4
0.75, 0.00070952, 1.12e-06, 0.00040824, 5.04e-09, 1596.15, 3846.72, 2.64181, 1.98814, 0.342244, 2153.38, 1.71135e-07, 2455.94, 232.833, 10755.1, 0.876803, 0.800877, 0.880653, 0.0762596, 4
0.74, 0.00069188, 1.10026e-06, 0.0003969, 4.8818e-09, 1615.02, 3892.2, 2.64181, 1.99257, 0.341463, 2087.17, 1.68115e-07, 2389.73, 232.833, 10490.3, 0.87339, 0.79585, 0.880653, 0.0781848, 4
0.73, 0.00067438, 1.0815e-06, 0.00038542, 4.7278e-09, 1634.54, 3939.24, 2.64181, 1.99716, 0.340682, 2023.81, 1.65245e-07, 2326.38, 232.833, 10236.8, 0.869941, 0.790795, 0.880653, 0.0801205, 4
0.72, 0.00065674, 1.06232e-06, 0.0003738, 4.5794e-09, 1655.45, 3989.63, 2.64181, 2.00211, 0.3399, 1960.64, 1.6231e-07, 2263.21, 232.833, 9984.17, 0.866311, 0.785501, 0.880653, 0.082148, 4
0.71, 0.00063924, 1.04384e-06, 0.00036232, 4.4352e-09, 1677.15, 4041.93, 2.64181, 2.00725, 0.339119, 1899.74, 1.59483e-07, 2202.3, 232.833, 9740.54, 0.862614, 0.780136, 0.880653, 0.0842027, 4
0.7, 0.00062174, 1.02522e-06, 0.0003507, 4.2938e-09, 1700.07, 4097.16, 2.64181, 2.01271, 0.338339, 1839.53, 1.56635e-07, 2142.09, 232.833, 9499.71, 0.858753, 0.774562, 0.880653, 0.0863374, 4
0.69, 0.00060424, 1.00674e-06, 0.00033908, 4.1566e-09, 1724.31, 4155.6, 2.64181, 2.0185, 0.337558, 1780.53, 1.53808e-07, 2083.09, 232.833, 9263.7, 0.854752, 0.768819, 0.880653, 0.0885369, 4
0.68, 0.00058688, 9.884e-07, 0.00032746, 4.0236e-09, 1749.59, 4216.51, 2.64181, 2.02456, 0.336778, 1722.72, 1.51003e-07, 2025.29, 232.833, 9032.47, 0.850606, 0.762901, 0.880653, 0.0908035, 4
0.67, 0.00056952, 9.7048e-07, 0.0003157, 3.8948e-09, 1776.41, 4281.14, 2.64181, 2.031, 0.335997, 1666.58, 1.48262e-07, 1969.14, 232.833, 8807.9, 0.846347, 0.756856, 0.880653, 0.0931186, 4
0.66, 0.0005523, 9.5242e-07, 0.00030408, 3.7688e-09, 1804.45, 4348.73, 2.64181, 2.03776, 0.335217, 1611.12, 1.455e-07, 1913.68, 232.833, 8586.07, 0.841894, 0.750574, 0.880653, 0.0955245, 4
0.65, 0.00053522, 9.3506e-07, 0.00029232, 3.647e-09, 1833.83, 4419.52, 2.64181, 2.04486, 0.334437, 1557.75, 1.42845e-07, 1860.32, 232.833, 8372.61, 0.837358, 0.744215, 0.880653, 0.0979598, 4
0.64, 0.00051814, 9.177e-07, 0.0002807, 3.5294e-09, 1865.13, 4494.97, 2.64181, 2.05245, 0.333658, 1505.28, 1.4019e-07, 1807.85, 232.833, 8162.73, 0.832638, 0.737638, 0.880653, 0.100479, 4
0.63, 0.0005012, 9.0048e-07, 0.00026894, 3.4132e-09, 1898.04, 4574.29, 2.64181, 2.06045, 0.332878, 1453.93, 1.37557e-07, 1756.5, 232.833, 7957.31, 0.827745, 0.730865, 0.880653, 0.103072, 4
0.62, 0.0004844, 8.8354e-07, 0.00025732, 3.3012e-09, 1932.7, 4657.81, 2.64181, 2.0689, 0.332099, 1403.91, 1.34967e-07, 1706.47, 232.833, 7757.22, 0.822695, 0.723923, 0.880653, 0.105731, 4
0.61, 0.0004676, 8.6646e-07, 0.0002457, 3.1934e-09, 1969.85, 4747.33, 2.64181, 2.078, 0.33132, 1354.54, 1.32355e-07, 1657.1, 232.833, 7559.74, 0.817413, 0.716711, 0.880653, 0.108493, 4
0.6, 0.00045094, 8.5008e-07, 0.00023408, 3.087e-09, 2009.14, 4842.02, 2.64181, 2.08764, 0.330541, 1307.12, 1.29851e-07, 1609.68, 232.833, 7370.07, 0.812034, 0.70942, 0.880653, 0.111285, 4
0.59, 0.00043456, 8.3342e-07, 0.0002226, 2.9848e-09, 2050.12, 4940.79, 2.64181, 2.09772, 0.329762, 1260.12, 1.27303e-07, 1562.69, 232.833, 7182.07, 0.806381, 0.701814, 0.880653, 0.114198, 4
0.58, 0.00041832, 8.1704e-07, 0.00021112, 2.8854e-09, 2093.61, 5045.61, 2.64181, 2.10844, 0.328984, 1214.39, 1.24799e-07, 1516.96, 232.833, 6999.17, 0.800545, 0.694022, 0.880653, 0.117182, 4
0.57, 0.00040208, 8.0108e-07, 0.00019964, 2.7888e-09, 2140.62, 5158.89, 2.64181, 2.12008, 0.328205, 1170.12, 1.22359e-07, 1472.69, 232.833, 6822.08, 0.794549, 0.686079, 0.880653, 0.120224, 4
0.56, 0.00038612, 7.8512e-07, 0.0001883, 2.695e-09, 2189.99, 5277.88, 2.64181, 2.13232, 0.327427, 1126.67, 1.19919e-07, 1429.24, 232.833, 6648.27, 0.788303, 0.677872, 0.880653, 0.123367, 4
0.55, 0.0003703, 7.6916e-07, 0.00017696, 2.604e-09, 2242.78, 5405.09, 2.64181, 2.14546, 0.326649, 1084.04, 1.17479e-07, 1386.6, 232.833, 6477.75, 0.781794, 0.669392, 0.880653, 0.126615, 4
0.54, 0.00035462, 7.539e-07, 0.00016576, 2.5158e-09, 2299.36, 5541.46, 2.64181, 2.15958, 0.325872, 1043.19, 1.15147e-07, 1345.76, 232.833, 6314.37, 0.775171, 0.660838, 0.880653, 0.129891, 4
0.53, 0.00033922, 7.3864e-07, 0.00015484, 2.429e-09, 2359.24, 5685.76, 2.64181, 2.17456, 0.325094, 1003.13, 1.12814e-07, 1305.7, 232.833, 6154.13, 0.768273, 0.652007, 0.880653, 0.133273, 4
0.52, 0.00032396, 7.2338e-07, 0.00014392, 2.345e-09, 2423.76, 5841.25, 2.65012, 2.19075, 0.324317, 963.857, 1.10481e-07, 1266.42, 232.833, 5997.02, 0.761087, 0.642891, 0.880653, 0.136765, 4
